TEAM,Prediction
Connecticut,1
Houston,1
Purdue,1
Auburn,1
Iowa St.,1
Arizona,1
Tennessee,1
Duke,1
North Carolina,1
Creighton,1
Marquette,1
Gonzaga,1
Illinois,1
Alabama,1
Saint Mary's,1
St. John's,1
Baylor,1
Michigan St.,1
Texas,1
Clemson,1
Kansas,1
Florida,1
Colorado,1
BYU,1
Wisconsin,1
Nebraska,1
Kentucky,1
San Diego St.,1
New Mexico,1
Pittsburgh,1
Villanova,0
Texas Tech,1
Texas A&M,1
Mississippi St.,1
Wake Forest,1
Nevada,1
Northwestern,1
Seton Hall,0
Washington St.,1
Utah,1
Ohio St.,1
Indiana St.,1
Colorado St.,1
Boise St.,1
Cincinnati,1
TCU,1
Dayton,1
North Carolina St.,1
Oklahoma,1
South Carolina,0
Drake,1
Oregon,0
Virginia Tech,0
Iowa,0
Florida Atlantic,1
Providence,0
Butler,0
Utah St.,1
Washington,0
Bradley,0
Xavier,0
Virginia,1
Grand Canyon,1
North Texas,0
San Francisco,0
UCF,0
SMU,1
Maryland,0
Kansas St.,0
USC,0
Syracuse,0
UNLV,0
Georgia,0
James Madison,1
Penn St.,0
Boston College,0
Minnesota,0
Duquesne,0
Mississippi,0
Richmond,0
Florida St.,0
VCU,0
Indiana,0
South Florida,1
Miami FL,0
LSU,0
McNeese St.,1
UCLA,0
Samford,1
Memphis,0
Loyola Chicago,0
UC Irvine,0
Yale,0
Louisiana Tech,0
Saint Joseph's,0
Massachusetts,0
Princeton,1
George Mason,0
College of Charleston,0
Appalachian St.,1
Belmont,0
Stanford,0
Arkansas,0
St. Bonaventure,0
Rutgers,0
Northern Iowa,0
Charlotte,0
UAB,0
Hofstra,0
Oklahoma St.,0
Cornell,0
Western Carolina,0
Vermont,0
UT Arlington,0
Seattle,0
Southern Illinois,0
Santa Clara,0
Michigan,0
California,0
Davidson,0
Georgia Tech,0
Troy,0
High Point,0
Notre Dame,0
Oakland,0
UNC Wilmington,0
Arizona St.,0
Sam Houston St.,0
Drexel,0
Western Kentucky,0
Morehead St.,0
Missouri,0
West Virginia,0
Wichita St.,0
Arkansas St.,0
Tarleton St.,0
Akron,0
South Dakota St.,0
UC San Diego,0
Youngstown St.,0
UNC Greensboro,0
Missouri St.,0
Ohio,0
St. Thomas,0
Toledo,0
Wright St.,0
Towson,0
Liberty,0
Louisiana Lafayette,0
Tulane,0
Oregon St.,0
Furman,0
Wyoming,0
Chattanooga,0
Murray St.,0
Delaware,0
UTEP,0
Stony Brook,0
UC Davis,0
Weber St.,0
Montana,0
Colgate,0
Winthrop,0
Quinnipiac,0
East Carolina,0
Fort Wayne,0
Eastern Washington,0
UMass Lowell,0
Kent St.,0
Bryant,0
UNC Asheville,0
Utah Valley,0
Georgetown,0
La Salle,0
Hawaii,0
Saint Louis,0
Little Rock,0
Illinois Chicago,0
Loyola Marymount,0
Brown,0
Longwood,0
East Tennessee St.,0
Fordham,0
Temple,0
Stephen F. Austin,0
Pepperdine,0
Texas A&M Corpus Chris,0
Vanderbilt,0
Rice,0
Louisville,0
Long Beach St.,0
Fairfield,0
Illinois St.,0
UMKC,0
Northern Kentucky,0
Gardner Webb,0
Texas St.,0
Monmouth,0
Penn,0
Rhode Island,0
Tulsa,0
George Washington,0
Eastern Kentucky,0
Cleveland St.,0
Columbia,0
Montana St.,0
Radford,0
Abilene Christian,0
Mercer,0
Evansville,0
Jacksonville St.,0
Northeastern,0
Northern Colorado,0
Harvard,0
Lipscomb,0
Marist,0
South Alabama,0
Saint Peter's,0
UC Riverside,0
Merrimack,0
Wofford,0
Cal Baptist,0
Rider,0
San Jose St.,0
North Dakota,0
Mount St. Mary's,0
Tennessee Martin,0
Cal St. Fullerton,0
Air Force,0
Georgia St.,0
Bowling Green,0
UTSA,0
Iona,0
Fresno St.,0
Stetson,0
Nicholls St.,0
Milwaukee,0
Cal St. Northridge,0
North Florida,0
Florida Gulf Coast,0
Marshall,0
UC Santa Barbara,0
San Diego,0
Lamar,0
Portland St.,0
Southern,0
Albany,0
Norfolk St.,0
Miami OH,0
Cal St. Bakersfield,0
Maine,0
Southern Utah,0
Idaho St.,0
Canisius,0
UMBC,0
Green Bay,0
Queens,0
Austin Peay,0
Ball St.,0
Southern Miss,0
Middle Tennessee,0
Grambling St.,0
Western Illinois,0
North Dakota St.,0
North Carolina Central,0
North Alabama,0
Lehigh,0
Georgia Southern,0
Central Michigan,0
Utah Tech,0
Bucknell,0
Portland,0
Binghamton,0
Texas Southern,0
Nebraska Omaha,0
Howard,0
Central Connecticut,0
The Citadel,0
New Mexico St.,0
New Hampshire,0
Presbyterian,0
Kennesaw St.,0
Oral Roberts,0
USC Upstate,0
Denver,0
Wagner,0
DePaul,0
Niagara,0
Sacred Heart,0
SIU Edwardsville,0
FIU,0
Alcorn St.,0
Boston University,0
Valparaiso,0
Tennessee St.,0
Louisiana Monroe,0
Chicago St.,0
Old Dominion,0
South Carolina St.,0
Delaware St.,0
American,0
Jacksonville,0
Northern Illinois,0
Bellarmine,0
Campbell,0
Jackson St.,0
Le Moyne,0
Bethune Cookman,0
Elon,0
Southeastern Louisiana,0
Sacramento St.,0
William & Mary,0
Idaho,0
Coastal Carolina,0
South Dakota,0
Robert Morris,0
Western Michigan,0
Northern Arizona,0
Alabama St.,0
Eastern Illinois,0
Charleston Southern,0
Northwestern St.,0
Eastern Michigan,0
Lafayette,0
Alabama A&M,0
Southern Indiana,0
Navy,0
NJIT,0
Arkansas Pine Bluff,0
Hampton,0
Dartmouth,0
UT Rio Grande Valley,0
New Orleans,0
Fairleigh Dickinson,0
Morgan St.,0
Manhattan,0
Central Arkansas,0
Texas A&M Commerce,0
Florida A&M,0
LIU Brooklyn,0
Cal Poly,0
Prairie View A&M,0
North Carolina A&T,0
Loyola MD,0
Tennessee Tech,0
Buffalo,0
Detroit,0
Incarnate Word,0
Army,0
Holy Cross,0
Maryland Eastern Shore,0
Pacific,0
Southeast Missouri St.,0
Lindenwood,0
Houston Christian,0
Siena,0
Stonehill,0
VMI,0
IUPUI,0
St. Francis PA,0
Coppin St.,0
Mississippi Valley St.,0
